Name,Address,Country,Age,Status,Date,Gender,Q1,Q2,Q3,Q4,Q5
Sienna Leon,"4 Whyte Field, Crossgar, Downpatrick BT30 9HB, UK",IRL,57,Excellent,01/15/2019,F,5,5,2,5,4
Alfred Best,"5-69 Mcbriar Meadow, Newtownards BT22 2EW, UK",IRL,68,Poor,01/15/2019,M,4,3,3,1,4
Zion Stark,"29 St Annes Gardens, Derry BT47 3TU, UK",IRL,58,Excellent,01/15/2018,F,5,3,4,2,3
Kaya Melton,"10 Bridge St, Ballymena BT43 5EW, UK",US,45,Poor,01/15/2018,M,4,3,2,4,3
Alma Navarro,"16-4 Union St, Cookstown BT80 8NP, UK",US,42,Poor,01/15/2018,F,1,5,4,4,1
Leonidas Figueroa,"14 Comber St, Saintfield, Ballynahinch BT24 7AZ, UK",IRL,39,Improved,01/15/2018,M,4,3,5,4,3
Gael Ward,"35 Arkle Park, Downpatrick BT30 6BJ, UK",IRL,78,Poor,01/15/2018,M,4,3,2,1,2
Clarissa Thornton,"376 Church Hill Rd, Enniskillen BT93 6BR, UK",US,46,Poor,01/15/2019,M,4,2,2,3,1
Katelynn Clay,"15 Dernasigh Rd, Armagh BT60 4QD, UK",IRL,48,Excellent,01/15/2019,F,4,1,3,5,4
Thalia Tate,"8 Kingsway Dr, Belfast BT5 7DP, UK",US,30,Improved,01/15/2018,F,2,4,1,5,3
Seth Farrell,"97-109 Darkley Rd, Armagh BT60 3BU, UK",US,70,Improved,01/15/2018,F,4,2,1,1,4
Karlie Archer,"91 Glenbryn Park, Belfast BT14 7JG, UK",IRL,36,Excellent,01/15/2018,M,3,5,3,4,4
Quinn Fisher,"20 Acres Rd, Magheralin, Craigavon BT67 0RL, UK",US,44,Excellent,01/15/2018,M,2,5,2,4,2
Riley Lam,"2-28 Forth Ave, Warrenpoint, Newry BT34 3SB, UK",IRL,42,Excellent,01/15/2019,M,4,3,1,4,2
Skylar Waller,"7 Sandhurst Park, Bangor BT20 5NU, UK",IRL,31,Poor,01/15/2019,F,3,5,5,4,5
Samantha Lopez,"22 Shanco Rd, Clogher BT76, UK",US,28,Poor,01/15/2018,M,5,5,5,4,5
Bailey Sampson,"71 Ballyconnell Rd, Knockateggal, Derrylin, Enniskillen BT92 9AH, UK",IRL,27,Poor,01/15/2019,F,3,1,2,1,2
Keyon Castaneda,"16A Lurganboy Rd, Castlederg BT81 7HS, UK",US,82,Excellent,01/15/2019,F,5,3,2,3,1
Eileen Thomas,"14 Slievetoye Park, Belfast BT14 8JL, UK",IRL,26,Poor,01/15/2019,F,1,4,5,5,3
